GeneSymbol,PriorityScore,Interactome,SrcPred,SrcKnown,pYXXP,FynKnown,Enriched,CrkIntAct,AblPred,AblKnown,Rank
DOK1,11.5,yes,no,no,yes,no,yes,yes,yes,yes,1
CRKL,11,yes,no,no,yes,no,yes,yes,no,yes,2
DOK2,10.5,yes,no,no,yes,no,yes,yes,yes,no,3
PXN,10.5,yes,no,yes,yes,yes,no,yes,yes,yes,4
CBL,10,yes,no,yes,yes,yes,no,yes,no,yes,5
LASP1,9.5,no,no,yes,yes,no,yes,yes,yes,yes,6
SHB,9,yes,no,no,yes,no,yes,no,no,no,7
CRK,8.5,yes,no,no,yes,no,no,yes,yes,yes,8
GAB1,8.5,yes,no,yes,yes,no,no,yes,yes,no,9
BCAR1,8.5,no,no,yes,yes,no,yes,yes,yes,no,10
PTK2,8,yes,no,yes,yes,no,no,yes,no,no,11
STAT5A,8,yes,no,yes,yes,no,no,yes,no,no,12
ABL1,8,yes,no,no,yes,yes,no,yes,no,no,13
ABL2,8,yes,no,no,yes,no,no,yes,no,yes,14
PSMC1,7.5,yes,no,no,yes,no,no,yes,yes,no,15
CRMP1,7.5,yes,no,no,yes,yes,no,no,yes,no,16
PSMC6,7.5,yes,no,no,yes,no,no,yes,yes,no,17
DAB1,7.5,yes,no,yes,no,yes,no,yes,yes,yes,18
EFS,7.5,no,no,no,yes,no,yes,yes,yes,no,19
NEDD9,7.5,no,no,no,yes,no,yes,yes,yes,no,20
DCBLD2,7.5,no,no,no,yes,no,yes,yes,yes,no,21
CASS4,7.5,no,no,no,yes,no,yes,yes,yes,no,22
GRB2,7,yes,no,no,yes,no,no,yes,no,no,23
CTNNB1,7,yes,no,no,yes,no,no,no,no,yes,24
KIT,7,yes,no,no,yes,no,no,yes,no,no,25
ERBB3,7,yes,no,no,yes,no,no,yes,no,no,26
LYN,7,yes,no,no,yes,no,no,yes,no,no,27
PDGFRA,7,yes,no,no,yes,no,no,yes,no,no,28
HCK,7,yes,no,no,yes,no,no,yes,no,no,29
KDR,7,yes,no,no,yes,no,no,yes,no,no,30
PLK1,7,yes,no,no,yes,no,no,no,no,yes,31
STAT5B,7,yes,no,yes,yes,no,no,no,no,no,32
PLCG1,7,yes,no,yes,yes,no,no,no,no,no,33
ARHGAP35,7,yes,no,yes,yes,no,no,no,no,no,34
EFNB1,7,yes,no,yes,yes,no,no,no,no,no,35
PLEC,7,yes,no,no,yes,no,no,yes,no,no,36
INPPL1,7,yes,no,no,yes,no,no,yes,no,no,37
TUBA1C,7,yes,no,no,yes,no,no,yes,no,no,38
EMD,7,no,no,yes,yes,no,yes,no,no,no,39
WBP2,7,no,no,yes,yes,no,yes,no,no,no,40
TJP1,6.5,yes,no,no,yes,no,no,no,yes,no,41
DPYSL2,6.5,yes,no,no,yes,no,no,no,yes,no,42
FERMT2,6.5,yes,no,no,yes,no,no,no,yes,no,43
ABLIM1,6.5,yes,no,no,yes,no,no,no,yes,no,44
TJP2,6.5,yes,no,no,yes,no,no,no,yes,no,45
EFNA2,6.5,yes,no,no,no,no,yes,no,yes,no,46
HNRNPL,6.5,no,no,no,yes,no,yes,no,yes,no,47
TUBA3E,6,yes,no,no,yes,no,no,no,no,no,48
TUBA4A,6,yes,no,no,yes,no,no,no,no,no,49
