Rank,Score
1,11.5
2,11
3,10.5
4,10.5
5,10
6,9.5
7,9
8,8.5
9,8.5
10,8.5
11,8
12,8
13,8
14,8
15,7.5
16,7.5
17,7.5
18,7.5
19,7.5
20,7.5
21,7.5
22,7.5
23,7
24,7
25,7
26,7
27,7
28,7
29,7
30,7
31,7
32,7
33,7
34,7
35,7
36,7
37,7
38,7
39,7
40,7
41,6.5
42,6.5
43,6.5
44,6.5
45,6.5
46,6.5
47,6.5
48,6
49,6
50,6
51,6
52,6
53,6
54,6
55,6
56,6
57,6
58,6
59,6
60,6
61,6
62,6
63,6
64,6
65,6
66,6
67,6
68,6
69,6
70,6
71,6
72,6
73,6
74,6
75,6
76,6
77,6
78,6
79,6
80,6
81,6
82,6
83,6
84,6
85,6
86,6
87,6
88,6
89,6
90,6
91,6
92,6
93,6
94,6
95,6
96,6
97,6
98,6
99,6
100,6
101,6
102,6
103,5.5
104,5
105,5
106,5
107,5
108,5
109,5
110,4.5
111,4.5
112,4.5
113,4.5
114,4.5
115,4.5
116,4.5
117,4.5
118,4.5
119,4
120,4
121,4
122,4
123,4
124,4
125,4
126,4
127,4
128,4
129,4
130,4
131,4
132,4
133,4
134,4
135,4
136,4
137,4
138,4
,4
25,4
26,4
27,4
4836,4
1198,4
7264,4
118,4
939,4
7731,4
1622,4
1001,4
1885,4
6502,4
3671,4
2700,4
4346,4
2711,4
2021,4
,4
193,4
1790,4
2578,4
488,4
6687,4
1683,4
3115,4
3207,4
1293,4
4339,4
5048,4
7089,4
5964,4
973,4
6274,4
1388,4
7924,4
2239,4
467,4
4212,4
4444,4
7521,4
2921,4
1218,3.5
4298,3.5
2899,3.5
4088,3.5
3135,3.5
3401,3.5
3761,3.5
2803,3.5
5276,3.5
7868,3.5
304,3.5
4202,3.5
1723,3.5
1762,3.5
3040,3.5
6968,3.5
,3.5
400,3.5
7934,3.5
5133,3.5
5860,3.5
4079,3.5
339,3.5
2801,3.5
,3.5
7030,3.5
7724,3.5
1619,3.5
2347,3.5
1860,3.5
5796,3.5
6716,3.5
2898,3.5
5605,3.5
2,3.5
4635,3.5
5769,3.5
5146,3.5
21,3.5
2827,3.5
3677,3.5
2256,3.5
,3.5
865,3.5
1228,3.5
2848,3.5
8488,3.5
1931,3.5
7088,3.5
7885,3.5
1611,3.5
5705,3.5
7840,3.5
,3.5
1480,3.5
7408,3.5
3510,3.5
4608,3.5
468,3.5
3575,3.5
7029,3.5
2429,3.5
4947,3.5
,3.5
6129,3.5
1253,3.5
2385,3
5763,3
2386,3
,3
,3
3127,3
1918,3
1915,3
4952,3
7366,3
83,3
1773,3
2856,3
4456,3
2658,3
4436,3
6980,3
8136,3
1148,3
3743,3
3283,3
3822,3
4983,3
984,3
5892,3
6976,3
7147,3
8530,3
3419,3
7536,3
2989,3
3048,3
5272,3
5985,3
7234,3
8342,3
2540,3
3701,3
4751,3
7978,3
2807,3
2892,3
4889,3
8681,3
8823,3
1278,3
2398,3
3348,3
3548,3
5351,3
3431,3
4741,3
7867,3
8110,3
129,3
3911,3
995,3
1156,3
6445,3
6708,3
1521,3
1523,3
1688,3
4510,3
2424,3
2844,3
2040,3
2381,3
2412,3
3001,3
,3
1807,3
4902,3
210,3
1155,3
2013,3
5768,3
6943,3
7390,3
1888,3
4864,3
5056,3
7484,3
1216,3
1982,3
146,3
1044,3
8029,3
8526,3
2849,3
8312,3
252,3
1174,3
4651,3
6747,3
2979,3
3839,3
3964,3
5389,3
902,3
2778,3
7405,3
1821,3
6016,3
717,3
7740,3
8194,3
8801,3
,3
2351,3
5997,3
7017,3
8617,3
2725,3
5238,3
5928,3
6012,3
6089,3
7520,3
8532,3
2370,3
3700,3
4461,3
8337,3
790,3
2074,3
5201,3
7161,3
7962,3
,3
854,3
906,3
2076,3
2806,3
3834,3
6479,3
7464,3
,3
1714,3
1720,3
4974,3
5186,3
7223,3
7817,3
8463,3
,3
598,3
1107,3
3028,3
4032,3
4948,3
5811,3
873,3
960,3
1257,3
1717,3
1801,3
1948,3
3830,3
3863,3
5488,3
5759,3
8270,3
,3
74,3
309,3
424,3
1199,3
2620,3
4269,3
5191,3
5905,3
5915,3
5941,3
6547,3
6552,3
6661,3
7173,3
8474,3
2058,3
4978,3
5943,3
6880,3
8313,3
,3
723,3
1522,3
2524,3
3704,3
6423,3
7227,3
8623,3
341,3
759,3
1117,3
1428,3
1554,3
2321,3
6021,3
6145,3
6924,3
,3
1201,3
1758,3
2080,3
3112,3
3986,3
6343,3
8511,3
8637,3
8687,3
225,3
2839,3
3926,3
5156,3
7145,3
7986,3
5,3
356,3
1533,3
1997,3
3707,3
6076,3
6243,3
6957,3
1041,3
2749,3
2818,3
2991,3
4303,3
4611,3
7121,3
7501,3
8416,3
,3
509,3
587,3
1557,3
1636,3
4452,3
4857,3
5088,3
6166,3
6507,3
6568,3
7244,3
7271,3
7281,3
7800,3
7952,3
241,3
669,3
1514,3
1582,3
1757,3
2212,3
2995,3
3869,3
4161,3
4803,3
4861,3
6660,3
6756,3
6850,3
101,3
526,3
555,3
1538,3
1823,3
3310,3
4216,3
4435,3
4627,3
4763,3
8273,3
,3
80,3
543,3
1190,3
1479,3
1899,3
4949,3
7140,3
8317,3
1089,3
1709,3
3237,3
3402,3
5111,3
5160,3
5291,3
5341,3
5614,3
5828,3
5913,3
6713,3
6824,3
7105,3
7773,3
8069,3
8275,3
8597,3
8622,3
,3
109,3
427,3
577,3
1869,3
2218,3
3937,3
4031,3
4033,3
4501,3
4586,3
6590,3
,3
35,3
52,3
633,3
1046,3
2083,3
2123,3
2231,3
3480,3
4172,3
4270,3
4653,3
4689,3
4800,3
4831,3
5175,3
5252,3
5750,3
7310,3
875,3
1125,3
1941,3
3654,3
3757,3
3900,3
4455,3
4623,3
4771,3
5018,3
5131,3
5831,3
6293,3
6727,3
7159,3
367,3
918,3
944,3
1032,3
1037,3
1673,3
1765,3
2126,3
2157,3
2610,3
3587,3
3640,3
4849,3
5507,3
5544,3
5818,3
6406,3
6734,3
7092,3
7707,3
8453,3
235,3
411,3
561,3
1289,3
1886,3
2593,3
2840,3
2982,3
3563,3
3843,3
4124,3
4629,3
7198,3
7734,3
8383,3
8433,3
8586,3
8864,3
,3
307,3
466,3
602,3
645,3
752,3
940,3
1021,3
1053,3
1632,3
1979,3
2141,3
3268,3
3400,3
3559,3
3842,3
3860,3
3892,3
4008,3
4637,3
5197,3
5249,3
6123,3
6876,3
6947,3
7010,3
7241,3
7400,3
7659,3
8208,3
